BugID 	 BugVersion(ReleaseDate) 	 BugReportDate 	 PatchDate 	 FixTime
114601	OOO330m7	2010-09-19 19:09:00.0	2010-09-19 19:10:00.0	0 days
111380	DEV300m77	2010-05-05 03:34:00.0	2010-05-05 03:36:00.0	0 days
78282	current	2007-06-11 02:18:00.0	2007-06-11 02:57:00.0	0 days
68897	680m180	2006-08-23 16:04:00.0	2006-08-23 16:04:00.0	0 days
68898	680m180	2006-08-23 16:08:00.0	2006-08-23 16:09:00.0	0 days
46585	680m88	2005-04-04 09:30:00.0	2005-04-04 09:31:00.0	0 days
68894	680m180	2006-08-23 15:52:00.0	2006-08-23 15:54:00.0	0 days
68894	680m180	2006-08-23 15:52:00.0	2006-10-16 10:05:00.0	53 days
91212	pre AOO 3.4.0	2008-06-30 13:37:00.0	2008-06-30 14:06:00.0	0 days
51442	680m112	2005-07-01 07:40:00.0	2005-07-01 07:42:00.0	0 days
81119	680m225	2007-08-29 14:22:00.0	2007-08-29 14:23:00.0	0 days
81125	680m226	2007-08-29 14:39:00.0	2007-08-29 14:40:00.0	0 days
75530	pre AOO 3.4.0	2007-03-19 18:57:00.0	2007-04-11 15:13:00.0	22 days
62229	OOo 2.0	2006-02-17 21:26:00.0	2006-03-19 20:42:00.0	29 days
62229	OOo 2.0	2006-02-17 21:26:00.0	2006-10-29 11:56:00.0	253 days
62229	OOo 2.0	2006-02-17 21:26:00.0	2006-10-29 13:29:00.0	253 days
62229	OOo 2.0	2006-02-17 21:26:00.0	2006-11-14 00:32:00.0	269 days
62216	OOo 2.0.2	2006-02-17 14:46:00.0	2006-02-17 14:56:00.0	0 days
62216	OOo 2.0.2	2006-02-17 14:46:00.0	2006-02-20 11:33:00.0	2 days
62216	OOo 2.0.2	2006-02-17 14:46:00.0	2006-02-20 11:38:00.0	2 days
75681	pre AOO 3.4.0	2007-03-23 15:28:00.0	2007-03-26 13:12:00.0	2 days
70809	OOo 1.0.0	2006-10-24 16:21:00.0	2006-10-24 16:23:00.0	0 days
111427	DEV300m77	2010-05-06 14:24:00.0	2010-05-06 14:24:00.0	0 days
10855	643C	2003-01-22 15:57:00.0	2003-01-22 15:58:00.0	0 days
10855	643C	2003-01-22 15:57:00.0	2003-01-22 16:17:00.0	0 days
40244	current	2005-01-10 05:24:00.0	2005-01-10 10:58:00.0	0 days
101245	DEV300m46	2009-04-21 15:34:00.0	2009-04-21 15:34:00.0	0 days
101245	DEV300m46	2009-04-21 15:34:00.0	2009-10-23 12:10:00.0	184 days
100116	OOO310m4	2009-03-11 10:28:00.0	2009-03-11 16:12:00.0	0 days
100116	OOO310m4	2009-03-11 10:28:00.0	2009-03-11 17:23:00.0	0 days
14535	OOo 1.1 Beta2	2003-05-16 14:18:00.0	2003-05-16 14:19:00.0	0 days
59119	current	2005-12-09 10:25:00.0	2005-12-09 10:28:00.0	0 days
59119	current	2005-12-09 10:25:00.0	2005-12-09 10:30:00.0	0 days
101273	pre AOO 3.4.0	2009-04-22 13:47:00.0	2009-04-23 18:50:00.0	1 days
45911	OOo 2.0 Beta	2005-03-24 08:39:00.0	2005-03-24 08:40:00.0	0 days
3360	641	2002-03-05 22:56:00.0	2002-04-08 12:49:00.0	33 days
3360	641	2002-03-05 22:56:00.0	2002-05-15 16:27:00.0	70 days
35830	680m92	2004-10-19 22:10:00.0	2005-05-06 11:12:00.0	198 days
35830	680m92	2004-10-19 22:10:00.0	2005-05-06 17:14:00.0	198 days
35830	680m92	2004-10-19 22:10:00.0	2005-05-10 08:34:00.0	202 days
35830	680m92	2004-10-19 22:10:00.0	2005-10-21 12:55:00.0	366 days
87245	DEV300m3	2008-03-19 13:31:00.0	2008-03-19 14:38:00.0	0 days
64453	current	2006-04-18 08:02:00.0	2006-04-18 08:02:00.0	0 days
64453	current	2006-04-18 08:02:00.0	2006-04-18 08:03:00.0	0 days
461	619	2001-02-22 12:39:00.0	2001-02-22 16:07:00.0	0 days
58978	680m142	2005-12-06 18:18:00.0	2005-12-06 18:18:00.0	0 days
100159	DEV300m42	2009-03-12 17:28:00.0	2010-07-16 15:21:00.0	490 days
19976	OOo 1.1 RC4	2003-09-24 09:51:00.0	2003-09-24 09:51:00.0	0 days
73952	OOo 2.2	2007-01-28 15:49:00.0	2007-02-03 04:11:00.0	5 days
24599	680m20	2004-01-20 10:47:00.0	2005-02-08 10:59:00.0	385 days
101222	DEV300m46	2009-04-20 14:03:00.0	2009-04-20 14:05:00.0	0 days
58949	current	2005-12-06 11:51:00.0	2005-12-06 11:52:00.0	0 days
112969	DEV300m84	2010-07-06 11:52:00.0	2010-07-06 11:52:00.0	0 days
21191	OOo 1.1 RC5	2003-10-14 18:10:00.0	2003-10-14 18:11:00.0	0 days
21191	OOo 1.1 RC5	2003-10-14 18:10:00.0	2003-10-14 18:11:00.0	0 days
119366	OOo 3.4 Beta	2012-05-16 15:26:00.0	2012-06-25 08:19:00.0	39 days
119366	OOo 3.4 Beta	2012-05-16 15:26:00.0	2012-06-26 09:42:00.0	40 days
73964	OOo 2.1	2007-01-29 08:40:00.0	2007-10-24 05:59:00.0	267 days
63766	OOo 2.0.2	2006-03-29 14:11:00.0	2006-03-29 15:11:00.0	0 days
88375	DEV300m7	2008-04-17 08:56:00.0	2008-04-17 08:56:00.0	0 days
72062	OOo 2.2	2006-11-28 12:22:00.0	2006-11-28 12:30:00.0	0 days
89430	pre AOO 3.4.0	2008-05-14 06:37:00.0	2008-10-31 07:36:00.0	170 days
72073	OOo 2.0.4	2006-11-28 16:23:00.0	2006-11-30 19:13:00.0	2 days
41391	680m72	2005-01-26 16:29:00.0	2005-01-26 16:29:00.0	0 days
48945	current	2005-05-09 12:06:00.0	2006-04-16 19:12:00.0	342 days
48945	current	2005-05-09 12:06:00.0	2006-04-16 19:12:00.0	342 days
6717	OOo 1.0.1	2002-08-02 16:29:00.0	2002-08-02 16:31:00.0	0 days
6717	OOo 1.0.1	2002-08-02 16:29:00.0	2002-08-02 16:32:00.0	0 days
6712	OOo 1.0.1	2002-08-02 16:00:00.0	2002-08-02 16:01:00.0	0 days
6712	OOo 1.0.1	2002-08-02 16:00:00.0	2002-08-02 16:04:00.0	0 days
6712	OOo 1.0.1	2002-08-02 16:00:00.0	2002-08-06 19:28:00.0	4 days
6711	OOo 1.0.1	2002-08-02 15:34:00.0	2002-08-02 15:42:00.0	0 days
6720	OOo 1.0.1	2002-08-02 16:38:00.0	2002-08-02 16:42:00.0	0 days
55841	OOo 2.0	2005-10-12 16:52:00.0	2005-10-12 16:53:00.0	0 days
55841	OOo 2.0	2005-10-12 16:52:00.0	2005-10-13 16:24:00.0	0 days
57862	680m124	2005-11-14 11:17:00.0	2006-01-12 08:54:00.0	58 days
57872	680m137	2005-11-14 12:39:00.0	2005-11-14 12:42:00.0	0 days
57872	680m137	2005-11-14 12:39:00.0	2005-11-14 12:43:00.0	0 days
57872	680m137	2005-11-14 12:39:00.0	2006-05-04 12:45:00.0	170 days
68977	OOo 2.0.3	2006-08-26 16:11:00.0	2006-08-26 16:11:00.0	0 days
68977	OOo 2.0.3	2006-08-26 16:11:00.0	2006-08-30 14:21:00.0	3 days
105556	DEV300m60	2009-10-02 15:00:00.0	2009-10-02 15:01:00.0	0 days
106771	DEV300m64	2009-11-10 14:40:00.0	2009-11-10 14:40:00.0	0 days
95051	pre AOO 3.4.0	2008-10-17 07:56:00.0	2008-10-31 07:38:00.0	13 days
105550	DEV300m60	2009-10-02 12:53:00.0	2009-10-02 12:54:00.0	0 days
68984	680m182	2006-08-26 19:28:00.0	2006-08-26 19:29:00.0	0 days
95863	DEV300m31	2008-11-05 09:35:00.0	2008-12-11 11:55:00.0	36 days
28330	OOo 1.1.2	2004-04-24 20:02:00.0	2004-10-03 04:35:00.0	161 days
105549	DEV300m60	2009-10-02 12:49:00.0	2009-10-02 12:50:00.0	0 days
32096	pre AOO 3.4.0	2004-07-26 14:03:00.0	2004-07-26 14:04:00.0	0 days
105547	DEV300m60	2009-10-02 11:57:00.0	2009-10-02 12:04:00.0	0 days
105546	DEV300m60	2009-10-02 11:47:00.0	2009-10-02 11:48:00.0	0 days
61005	OOo 2.0.1	2006-01-22 13:40:00.0	2006-11-04 21:51:00.0	286 days
65194	OOo 2.0.2	2006-05-09 10:32:00.0	2006-05-09 17:38:00.0	0 days
